data,0,-1,1,0,-1,0,0,1,0,
label,0,-1,1,0,-1,0,-1,1,0,
data,0,-1,1,0,-1,1,-1,1,0,
label,0,-1,1,0,-1,1,-1,1,-1,
data,0,-1,1,1,-1,1,-1,1,-1,
label,-1,-1,1,1,-1,1,-1,1,-1,
start,0,0,0,0,-1,0,0,0,0,
data,0,0,0,1,-1,0,0,0,0,
label,0,-1,0,1,-1,0,0,0,0,
data,0,-1,0,1,-1,0,0,1,0,
label,-1,-1,0,1,-1,0,0,1,0,
data,-1,-1,0,1,-1,0,0,1,1,
label,-1,-1,-1,1,-1,0,0,1,1,
start,0,0,0,0,-1,0,0,0,0,
data,0,0,0,0,-1,0,0,1,0,
label,0,0,0,0,-1,-1,0,1,0,
data,0,0,0,1,-1,-1,0,1,0,
label,0,0,0,1,-1,-1,0,1,-1,
data,0,0,1,1,-1,-1,0,1,-1,
label,-1,0,1,1,-1,-1,0,1,-1,
start,0,0,0,0,-1,0,0,0,0,
data,0,0,0,0,-1,0,1,0,0,
label,0,0,-1,0,-1,0,1,0,0,
data,0,0,-1,1,-1,0,1,0,0,
label,-1,0,-1,1,-1,0,1,0,0,
data,-1,0,-1,1,-1,0,1,0,1,
label,-1,-1,-1,1,-1,0,1,0,1,
start,-1,0,0,0,0,0,0,0,0,
data,-1,0,0,0,0,0,1,0,0,
label,-1,0,0,0,0,0,1,0,-1,
data,-1,0,0,0,1,0,1,0,-1,
label,-1,0,-1,0,1,0,1,0,-1,
data,-1,1,-1,0,1,0,1,0,-1,
label,-1,1,-1,0,1,-1,1,0,-1,
start,0,0,0,0,0,-1,0,0,0,
data,0,0,0,0,1,-1,0,0,0,
label,0,0,-1,0,1,-1,0,0,0,
data,0,0,-1,0,1,-1,0,0,1,
label,-1,0,-1,0,1,-1,0,0,1,
data,-1,0,-1,0,1,-1,1,0,1,
label,-1,-1,-1,0,1,-1,1,0,1,
start,-1,0,0,0,0,0,0,0,0,
data,-1,0,0,0,1,0,0,0,0,
label,-1,0,-1,0,1,0,0,0,0,
data,-1,0,-1,0,1,0,1,0,0,
label,-1,-1,-1,0,1,0,1,0,0,
start,0,0,0,0,-1,0,0,0,0,
data,1,0,0,0,-1,0,0,0,0,
label,1,0,0,0,-1,0,0,-1,0,
data,1,1,0,0,-1,0,0,-1,0,
label,1,1,-1,0,-1,0,0,-1,0,
data,1,1,-1,1,-1,0,0,-1,0,
label,1,1,-1,1,-1,0,-1,-1,0,
start,0,0,0,0,-1,0,0,0,0,
data,0,0,0,0,-1,0,0,0,1,
label,0,-1,0,0,-1,0,0,0,1,
data,0,-1,1,0,-1,0,0,0,1,
label,0,-1,1,0,-1,0,0,-1,1,
start,0,0,0,0,-1,0,0,0,0,
data,0,0,0,1,-1,0,0,0,0,
label,-1,0,0,1,-1,0,0,0,0,
data,-1,0,0,1,-1,0,0,1,0,
label,-1,0,0,1,-1,0,0,1,-1,
start,0,0,0,0,-1,0,0,0,0,
data,0,0,0,0,-1,1,0,0,0,
label,0,-1,0,0,-1,1,0,0,0,
data,0,-1,0,0,-1,1,0,1,0,
label,0,-1,0,0,-1,1,-1,1,0,
data,1,-1,0,0,-1,1,-1,1,0,
label,1,-1,-1,0,-1,1,-1,1,0,
start,0,0,0,0,-1,0,0,0,0,
data,0,0,0,0,-1,1,0,0,0,
label,0,-1,0,0,-1,1,0,0,0,
data,0,-1,0,0,-1,1,0,1,0,
label,0,-1,0,0,-1,1,-1,1,0,
data,0,-1,0,1,-1,1,-1,1,0,
label,0,-1,-1,1,-1,1,-1,1,0,
start,0,0,0,0,-1,0,0,0,0,
data,1,0,0,0,-1,0,0,0,0,
label,1,0,0,0,-1,0,-1,0,0,
data,1,0,1,0,-1,0,-1,0,0,
label,1,0,1,0,-1,0,-1,-1,0,
data,1,0,1,0,-1,1,-1,-1,0,
label,1,-1,1,0,-1,1,-1,-1,0,
start,0,0,0,0,-1,0,0,0,0,
data,0,0,0,1,-1,0,0,0,0,
label,-1,0,0,1,-1,0,0,0,0,
data,-1,0,0,1,-1,0,0,0,1,
label,-1,-1,0,1,-1,0,0,0,1,
data,-1,-1,0,1,-1,0,1,0,1,
label,-1,-1,0,1,-1,0,1,-1,1,
start,0,0,0,0,-1,0,0,0,0,
data,0,0,0,0,-1,0,0,0,1,
label,0,-1,0,0,-1,0,0,0,1,
data,0,-1,0,0,-1,0,1,0,1,
label,0,-1,0,0,-1,0,1,-1,1,
start,0,0,0,0,-1,0,0,0,0,
data,0,1,0,0,-1,0,0,0,0,
label,-1,1,0,0,-1,0,0,0,0,
data,-1,1,0,0,-1,1,0,0,0,
label,-1,1,0,0,-1,1,0,0,-1,
start,0,0,0,0,-1,0,0,0,0,
data,1,0,0,0,-1,0,0,0,0,
label,1,0,0,0,-1,0,0,-1,0,
data,1,0,1,0,-1,0,0,-1,0,
label,1,-1,1,0,-1,0,0,-1,0,
start,0,0,0,0,-1,0,0,0,0,
data,0,0,0,0,-1,0,0,0,1,
label,0,-1,0,0,-1,0,0,0,1,
data,0,-1,0,0,-1,0,0,1,1,
label,0,-1,0,0,-1,0,-1,1,1,
data,0,-1,0,1,-1,0,-1,1,1,
label,0,-1,-1,1,-1,0,-1,1,1,
start,0,0,0,0,-1,0,0,0,0,
data,0,0,0,0,-1,1,0,0,0,
label,0,-1,0,0,-1,1,0,0,0,
data,0,-1,0,0,-1,1,0,1,0,
label,0,-1,0,0,-1,1,-1,1,0,
data,1,-1,0,0,-1,1,-1,1,0,
label,1,-1,-1,0,-1,1,-1,1,0,
start,0,0,0,0,-1,0,0,0,0,
data,0,0,0,1,-1,0,0,0,0,
label,0,0,0,1,-1,0,0,-1,0,
data,0,1,0,1,-1,0,0,-1,0,
label,0,1,-1,1,-1,0,0,-1,0,
data,1,1,-1,1,-1,0,0,-1,0,
label,1,1,-1,1,-1,0,-1,-1,0,
start,0,0,0,0,-1,0,0,0,0,
data,0,1,0,0,-1,0,0,0,0,
label,0,1,0,-1,-1,0,0,0,0,
data,0,1,0,-1,-1,1,0,0,0,
label,0,1,0,-1,-1,1,0,0,-1,
data,1,1,0,-1,-1,1,0,0,-1,
label,1,1,-1,-1,-1,1,0,0,-1,
data,1,1,-1,-1,-1,1,0,1,-1,
label,1,1,-1,-1,-1,1,-1,1,-1,
start,0,0,0,0,-1,0,0,0,0,
data,0,0,0,0,-1,0,1,0,0,
label,0,0,-1,0,-1,0,1,0,0,
data,0,0,-1,0,-1,0,1,1,0,
label,0,0,-1,0,-1,0,1,1,-1,
data,0,0,-1,1,-1,0,1,1,-1,
label,-1,0,-1,1,-1,0,1,1,-1,
start,0,0,0,0,-1,0,0,0,0,
data,0,0,0,0,-1,0,0,0,1,
label,0,-1,0,0,-1,0,0,0,1,
data,0,-1,0,0,-1,0,0,1,1,
label,0,-1,0,0,-1,0,-1,1,1,
data,0,-1,1,0,-1,0,-1,1,1,
label,0,-1,1,0,-1,-1,-1,1,1,
data,0,-1,1,1,-1,-1,-1,1,1,
label,-1,-1,1,1,-1,-1,-1,1,1,
start,0,0,0,0,-1,0,0,0,0,
data,0,0,0,0,-1,0,0,0,1,
label,0,-1,0,0,-1,0,0,0,1,
data,0,-1,0,0,-1,0,0,1,1,
label,0,-1,0,0,-1,0,-1,1,1,
data,0,-1,1,0,-1,0,-1,1,1,
label,0,-1,1,0,-1,-1,-1,1,1,
data,0,-1,1,1,-1,-1,-1,1,1,
label,-1,-1,1,1,-1,-1,-1,1,1,
start,0,0,0,0,-1,0,0,0,0,
data,0,0,0,0,-1,0,0,0,1,
label,0,-1,0,0,-1,0,0,0,1,
data,0,-1,0,0,-1,0,0,1,1,
label,0,-1,0,0,-1,0,-1,1,1,
data,0,-1,1,0,-1,0,-1,1,1,
label,0,-1,1,0,-1,-1,-1,1,1,
data,0,-1,1,1,-1,-1,-1,1,1,
label,-1,-1,1,1,-1,-1,-1,1,1,
start,0,0,0,0,-1,0,0,0,0,
data,0,0,0,0,-1,0,1,0,0,
label,0,0,0,0,-1,-1,1,0,0,
data,0,0,0,1,-1,-1,1,0,0,
label,-1,0,0,1,-1,-1,1,0,0,
data,-1,0,0,1,-1,-1,1,0,1,
label,-1,0,0,1,-1,-1,1,-1,1,
data,-1,0,1,1,-1,-1,1,-1,1,
label,-1,-1,1,1,-1,-1,1,-1,1,
start,0,0,0,0,-1,0,0,0,0,
data,0,0,1,0,-1,0,0,0,0,
label,0,0,1,-1,-1,0,0,0,0,
data,0,0,1,-1,-1,1,0,0,0,
label,0,0,1,-1,-1,1,0,0,-1,
data,0,1,1,-1,-1,1,0,0,-1,
label,0,1,1,-1,-1,1,-1,0,-1,
data,0,1,1,-1,-1,1,-1,1,-1,
label,-1,1,1,-1,-1,1,-1,1,-1,
start,0,0,0,0,-1,0,0,0,0,
data,0,0,0,0,-1,1,0,0,0,
label,0,-1,0,0,-1,1,0,0,0,
data,0,-1,0,0,-1,1,0,1,0,
label,0,-1,0,0,-1,1,-1,1,0,
data,0,-1,1,0,-1,1,-1,1,0,
label,0,-1,1,0,-1,1,-1,1,-1,
data,0,-1,1,1,-1,1,-1,1,-1,
label,-1,-1,1,1,-1,1,-1,1,-1,
start,0,0,0,0,-1,0,0,0,0,
data,0,0,0,0,-1,1,0,0,0,
label,0,-1,0,0,-1,1,0,0,0,
data,0,-1,0,0,-1,1,0,1,0,
label,0,-1,0,0,-1,1,-1,1,0,
data,0,-1,1,0,-1,1,-1,1,0,
label,0,-1,1,0,-1,1,-1,1,-1,
data,1,-1,1,0,-1,1,-1,1,-1,
label,1,-1,1,-1,-1,1,-1,1,-1,
start,0,0,0,0,-1,0,0,0,0,
data,0,0,0,0,-1,0,0,1,0,
label,0,0,0,0,-1,-1,0,1,0,
data,0,0,0,1,-1,-1,0,1,0,
label,-1,0,0,1,-1,-1,0,1,0,
data,-1,0,0,1,-1,-1,0,1,1,
label,-1,0,0,1,-1,-1,-1,1,1,
data,-1,0,1,1,-1,-1,-1,1,1,
label,-1,-1,1,1,-1,-1,-1,1,1,
start,0,0,0,0,-1,0,0,0,0,
data,0,0,0,0,-1,0,0,0,1,
label,0,-1,0,0,-1,0,0,0,1,
data,0,-1,0,0,-1,0,0,1,1,
label,0,-1,0,0,-1,0,-1,1,1,
data,0,-1,1,0,-1,0,-1,1,1,
label,0,-1,1,0,-1,-1,-1,1,1,
data,0,-1,1,1,-1,-1,-1,1,1,
label,-1,-1,1,1,-1,-1,-1,1,1,
start,0,0,0,0,-1,0,0,0,0,
data,0,0,0,0,-1,0,0,1,0,
label,-1,0,0,0,-1,0,0,1,0,
data,-1,0,1,0,-1,0,0,1,0,
label,-1,0,1,0,-1,0,0,1,-1,
